iter	Passed	Remaining
677	10682	5073
678	10696	5056
679	10710	5040
680	10724	5023
681	10739	5007
682	10753	4990
683	10768	4974
684	10782	4958
685	10798	4942
686	10812	4926
687	10826	4909
688	10841	4893
689	10856	4877
690	10869	4860
691	10883	4844
692	10898	4828
693	10912	4811
694	10925	4794
695	10940	4778
696	10954	4762
697	10968	4745
698	10983	4729
699	10997	4713
700	11011	4696
701	11025	4680
702	11039	4664
703	11053	4647
704	11068	4631
705	11084	4615
706	11098	4599
707	11113	4583
708	11127	4567
709	11141	4550
710	11156	4534
711	11170	4518
712	11185	4502
713	11200	4486
714	11215	4470
715	11229	4454
716	11244	4438
717	11261	4423
718	11279	4408
719	11296	4393
720	11310	4376
721	11324	4360
722	11339	4344
723	11353	4328
724	11368	4312
725	11382	4295
726	11396	4279
727	11411	4263
728	11426	4247
729	11440	4231
730	11455	4215
731	11469	4199
732	11484	4183
733	11497	4166
734	11511	4150
735	11526	4134
736	11540	4118
737	11555	4102
738	11570	4086
739	11585	4070
740	11600	4054
741	11614	4038
742	11628	4022
743	11643	4006
744	11657	3990
745	11672	3974
746	11686	3958
747	11701	3942
748	11716	3926
749	11731	3910
750	11746	3894
751	11761	3878
752	11775	3862
753	11790	3846
754	11804	3830
755	11818	3814
756	11832	3798
757	11846	3782
758	11860	3766
759	11874	3749
760	11889	3733
761	11903	3717
762	11917	3701
763	11931	3685
764	11946	3669
765	11960	3653
766	11975	3637
767	11990	3621
768	12004	3606
769	12019	3590
770	12034	3574
771	12048	3558
772	12062	3542
773	12077	3526
774	12092	3510
775	12106	3494
776	12121	3478
777	12136	3463
778	12150	3447
779	12164	3431
780	12179	3415
781	12194	3399
782	12208	3383
783	12222	3367
784	12236	3351
785	12251	3335
786	12265	3319
787	12280	3303
788	12294	3287
789	12309	3272
790	12322	3255
791	12337	3240
792	12351	3224
793	12365	3208
794	12380	3192
795	12394	3176
796	12409	3160
797	12423	3144
798	12437	3128
799	12451	3112
800	12466	3097
801	12480	3081
802	12494	3065
803	12508	3049
804	12523	3033
805	12537	3017
806	12551	3001
807	12566	2986
808	12580	2970
809	12595	2954
810	12609	2938
811	12624	2922
812	12638	2906
813	12653	2891
814	12668	2875
815	12683	2860
816	12697	2844
817	12712	2828
818	12727	2812
819	12742	2797
820	12757	2781
821	12771	2765
822	12785	2749
823	12800	2734
824	12814	2718
825	12828	2702
826	12842	2686
827	12856	2670
828	12871	2655
829	12885	2639
830	12900	2623
831	12915	2607
832	12935	2593
833	12949	2577
834	12963	2561
835	12977	2545
836	12992	2530
837	13006	2514
838	13021	2498
839	13034	2482
840	13049	2467
841	13063	2451
842	13077	2435
843	13091	2419
844	13106	2404
845	13120	2388
846	13133	2372
847	13148	2356
848	13162	2341
849	13177	2325
850	13191	2309
851	13205	2293
852	13219	2278
853	13234	2262
854	13249	2246
855	13263	2231
856	13277	2215
857	13291	2199
858	13306	2184
859	13320	2168
860	13335	2152
861	13349	2137
862	13364	2121
863	13378	2105
864	13393	2090
865	13407	2074
866	13422	2059
867	13437	2043
868	13453	2028
869	13467	2012
870	13482	1996
871	13497	1981
872	13512	1965
873	13527	1950
874	13542	1934
875	13557	1919
876	13571	1903
877	13585	1887
878	13599	1872
879	13614	1856
880	13629	1840
881	13643	1825
882	13658	1809
883	13672	1794
884	13687	1778
885	13701	1762
886	13716	1747
887	13730	1731
888	13744	1716
889	13758	1700
890	13774	1685
891	13789	1669
892	13803	1653
893	13818	1638
894	13832	1622
895	13847	1607
896	13861	1591
897	13876	1576
898	13891	1560
